Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,156.3,
SURVEY,2018,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142.6,
SURVEY,2017,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,146.1,
SURVEY,2016,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,137.8,
SURVEY,2015,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,147.6,
SURVEY,2014,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,172.2,
SURVEY,2013,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,155.7,
SURVEY,2012,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,73.3,
SURVEY,2011,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,144.5,
SURVEY,2010,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,142,
SURVEY,2009,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,134,
SURVEY,2008,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,110,
SURVEY,2007,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,128,
SURVEY,2006,YEAR,,COUNTY,MICHIGAN,26,SOUTHEAST,90,WASHTENAW,161,,,0,,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141,
